City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,ugoofaaru,5.6667,73.0,27.44,78,83,8.0,MV,1733158638
201,atafu village,-8.5421,-172.5159,27.96,77,41,7.35,TK,1733158639
202,caburan,5.9181,125.6411,25.05,82,99,2.64,PH,1733158640
203,hagere maryam,5.6333,38.2333,14.71,56,16,1.9,ET,1733158641
204,rawai,7.7797,98.3253,27.31,76,100,4.66,TH,1733158642
205,karachi,24.9056,67.0822,22.9,40,0,2.06,PK,1733158421
206,puerto leguizamo,-0.1934,-74.7819,30.18,62,65,3.08,CO,1733158645
207,port alfred,-33.5906,26.891,21.21,79,76,0.45,ZA,1733158646
208,urengoy,65.9667,78.3667,-16.66,91,89,4.98,RU,1733158647
209,christchurch,-43.5333,172.6333,14.39,91,20,2.06,NZ,1733158026
210,lazaro cardenas,17.9583,-102.2,28.2,58,0,1.43,MX,1733158530
211,grantsville,40.5999,-112.4644,3.49,74,0,0.45,US,1733158650
212,mpongwe,-13.5091,28.155,23.59,23,2,2.78,ZM,1733158651
213,villa emilio carranza,19.9667,-96.6,26.16,67,1,3.62,MX,1733158653
214,awjilah,29.1081,21.2869,16.75,38,4,3.51,LY,1733158654
215,eagle point,42.4726,-122.8028,-0.99,93,100,0.0,US,1733158655
216,bredasdorp,-34.5322,20.0403,20.93,71,73,7.02,ZA,1733158657
217,la libertad,-2.2333,-80.9,25.81,73,40,4.63,EC,1733158658
218,port augusta,-32.5,137.7667,21.1,65,39,3.08,AU,1733158659
219,afaahiti,-17.75,-149.2833,25.95,80,95,6.7,PF,1733158660
220,bastrop,32.7562,-91.8724,10.94,50,0,0.0,US,1733158662
221,park city,42.3484,-87.8842,-4.69,75,100,3.6,US,1733158601
222,crieff,56.3727,-3.8389,2.64,80,27,1.76,GB,1733158664
223,midelt,32.6852,-4.7451,14.6,33,94,0.76,MA,1733158665
224,quelimane,-17.8786,36.8883,26.97,69,20,3.6,MZ,1733158666
225,al ghayzah,16.2079,52.176,25.51,58,83,3.36,YE,1733158667
226,kuhdasht,33.535,47.6061,8.13,38,19,1.64,IR,1733158668
227,oguzeli,36.9657,37.5134,4.99,56,0,2.06,TR,1733158669
228,nar'yan-mar,67.6713,53.087,0.77,98,100,8.27,RU,1733158671
229,manukan,8.5333,123.1,25.97,89,98,1.28,PH,1733158672
230,al hasakah,36.5024,40.7477,10.76,36,6,1.38,SY,1733158673
231,pico truncado,-46.7949,-67.9573,15.5,20,80,6.47,AR,1733158674
232,kirillov,59.863,38.3813,-0.47,88,58,4.25,RU,1733158675
233,grand falls-windsor,48.9332,-55.6649,4.17,74,33,2.24,CA,1733158676
234,dornstadt,48.467,9.9443,6.91,88,88,2.63,DE,1733158677
235,kingston,17.997,-76.7936,30.09,70,20,2.57,JM,1733158444
236,new plymouth,-39.0667,174.0833,16.56,100,99,1.48,NZ,1733158679
237,lata,40.1629,-8.3327,13.17,85,35,1.75,PT,1733158681
238,purpe,64.4803,76.6897,-18.46,95,64,4.97,RU,1733158682
239,la passe,45.5549,-0.8967,11.79,83,8,4.0,FR,1733158683
240,eduardo castex,-35.915,-64.2945,24.32,16,2,9.57,AR,1733158684
241,durban,-29.8579,31.0292,21.51,86,100,6.82,ZA,1733158685
242,omdurman,15.6445,32.4777,26.29,14,12,4.97,SD,1733158686
243,tyumen,57.1522,65.5272,0.05,80,75,5.0,RU,1733158689
244,luau,-10.7073,22.2247,22.04,70,8,1.98,AO,1733158498
245,ninghai,29.2892,121.4247,12.67,80,0,1.65,CN,1733158691
246,berezovyy,51.6667,135.7,-10.37,96,100,0.76,RU,1733158692
247,alta,69.9689,23.2717,-2.41,86,75,3.6,NO,1733158451
248,arraial do cabo,-22.9661,-42.0278,34.98,58,0,5.66,BR,1733158579
249,acarau,-2.8856,-40.12,31.16,53,64,7.16,BR,1733158695
250,zalingei,12.9096,23.4741,23.42,16,4,3.03,SD,1733158696
251,sisimiut,66.9395,-53.6735,-7.75,76,100,3.44,GL,1733158698
252,geraldton,-28.7667,114.6,18.23,68,75,2.57,AU,1733158699
253,ejea de los caballeros,42.1263,-1.1372,9.12,68,43,3.71,ES,1733158701
254,kristinestad,62.2743,21.376,0.72,91,100,5.79,FI,1733158702
255,port-vila,-17.7338,168.3219,21.78,100,20,1.03,VU,1733158703
256,egilsstadir,65.2653,-14.3948,-17.05,78,75,2.06,IS,1733158704
257,northam,51.0333,-4.2167,7.56,78,80,8.75,GB,1733158706
258,alghero,40.5589,8.3181,15.05,82,40,1.54,IT,1733158569
259,guerrero,17.6667,-100.0,25.49,29,0,2.42,MX,1733158703
260,midvagur,62.0511,-7.1939,-1.54,69,75,1.54,FO,1733158709
261,kirkwall,58.9848,-2.9587,4.03,65,40,7.2,GB,1733158710
262,alice springs,-23.7,133.8833,25.75,69,41,4.12,AU,1733158711
263,piti village,13.4626,144.6933,28.03,92,40,4.12,GU,1733158712
264,apia,-13.8333,-171.7667,23.95,75,95,7.44,WS,1733158713
265,hinton,53.4001,-117.5857,-1.76,88,92,3.6,CA,1733158715
266,naze,28.3667,129.4833,16.51,65,0,3.12,JP,1733158716
267,kimbe,-5.5502,150.1429,24.56,93,40,1.19,PG,1733158717
268,qaqortoq,60.7167,-46.0333,-2.6,93,100,2.84,GL,1733158718
269,bad iburg,52.1549,8.0422,9.51,90,94,5.58,DE,1733158719
270,luanda,-8.8368,13.2343,29.0,74,40,4.63,AO,1733158696
271,bonthe,7.5264,-12.505,29.14,66,18,5.18,SL,1733158721
272,twon-brass,4.3151,6.2418,28.45,75,56,6.75,NG,1733158722
273,suntar,62.1444,117.6319,-25.37,94,99,1.81,RU,1733158724
274,guixi,28.2886,117.2133,13.95,64,0,2.76,CN,1733158725
275,kudahuvadhoo,2.6708,72.8944,27.9,75,100,8.27,MV,1733158726
276,nova sintra,14.8667,-24.7167,25.54,65,58,10.35,CV,1733158727
277,gaspe,48.8334,-64.4819,-1.88,64,20,3.09,CA,1733158728
278,dadukou,26.5479,101.7054,10.84,80,0,0.66,CN,1733158729
279,east ballina,-28.8667,153.5833,22.78,92,4,5.29,AU,1733158730
280,nenjiang,49.1833,125.2167,-29.7,97,98,1.52,CN,1733158732
281,stornoway,58.2093,-6.3865,4.98,82,75,5.66,GB,1733158733
282,puerto baquerizo moreno,-0.9,-89.6,24.55,73,75,6.17,EC,1733158734
283,santa elena de uairen,4.6167,-61.1333,26.26,59,51,2.54,VE,1733158735
284,sao jose da coroa grande,-8.8978,-35.1478,28.13,69,45,6.35,BR,1733158736
285,nogliki,51.8333,143.1667,-1.86,82,96,8.57,RU,1733158737
286,setif,36.1911,5.4137,14.45,51,40,3.6,DZ,1733158739
287,yanchep,-31.55,115.6833,15.27,76,23,1.91,AU,1733158740
288,san andres,12.5847,-81.7006,29.01,84,20,8.23,CO,1733158608
289,muisne,0.6,-80.0333,26.14,73,96,5.44,EC,1733158742
290,rahimatpur,17.6,74.2,24.26,71,89,5.03,IN,1733158743
291,malango,-2.9627,119.9001,19.69,99,99,1.11,ID,1733158744
292,lerwick,60.1545,-1.1494,2.47,64,98,9.5,GB,1733158745
293,mbandaka,0.0487,18.2603,26.73,62,98,0.8,CD,1733158746
294,acapulco de juarez,16.8634,-99.8901,27.9,65,40,3.09,MX,1733158748
295,oodweyne,9.4092,45.064,22.01,54,3,5.91,SO,1733158749
296,victoria point,-27.5833,153.3,24.95,88,19,3.0,AU,1733158750
297,ancud,-41.8697,-73.8203,13.82,54,32,5.62,CL,1733158751
298,sogod,10.3847,124.9814,25.02,97,45,0.82,PH,1733158752
299,kolonia,50.9333,6.95,10.54,84,75,4.12,DE,1733158753
300,tobruk,32.0836,23.9764,19.05,55,34,7.57,LY,1733158754
301,fale old settlement,-9.3852,-171.2468,27.39,80,42,6.81,TK,1733158755
302,zhosaly,45.4878,64.0781,-0.66,63,3,2.77,KZ,1733158757
303,polyarnyy,69.1989,33.4478,-3.84,92,67,11.92,RU,1733158758
304,pacific grove,36.6177,-121.9166,14.49,86,16,1.34,US,1733158759
305,piacabucu,-10.4056,-36.4344,29.16,65,40,6.98,BR,1733158760
306,thunder bay,48.4001,-89.3168,-5.01,74,75,4.63,CA,1733158604
307,marysville,48.0518,-122.1771,2.97,96,100,0.0,US,1733158675
308,college,64.8569,-147.8028,-20.86,79,0,0.0,US,1733158763
309,pershore,52.1116,-2.0759,9.15,89,95,0.45,GB,1733158765
310,westport,41.1415,-73.3579,4.04,51,0,2.57,US,1733158622
311,darwin,-12.4611,130.8418,28.27,88,100,0.51,AU,1733158767
312,remire-montjoly,4.9167,-52.2667,29.02,79,71,6.17,GF,1733158768
313,al jahra',29.3375,47.6581,16.62,40,81,3.56,KW,1733158769
314,bomdila,27.25,92.4,-1.29,81,8,3.2,IN,1733158770
315,gazojak,41.1875,61.4036,4.18,57,63,3.92,TM,1733158772
316,cockburn town,21.4612,-71.1419,27.07,70,57,1.87,TC,1733158601
317,livingston,55.9029,-3.5226,3.48,76,0,1.54,GB,1733158774
318,honcho,35.6931,139.9833,11.72,86,25,0.64,JP,1733158775
319,richards bay,-28.783,32.0377,21.17,87,100,5.12,ZA,1733158776
320,krasnoturansk,54.3186,91.5639,-7.0,95,100,1.09,RU,1733158777
321,saldanha,-33.0117,17.9442,21.03,89,66,5.81,ZA,1733158778
322,nyamuswa,-1.9,34.0167,18.1,90,76,0.51,TZ,1733158779
323,ola,59.5833,151.2833,-6.9,80,89,5.09,RU,1733158780
324,baiti,13.745,-14.7482,32.76,14,100,2.55,SN,1733158782
325,paradip garh,20.3167,86.6167,23.25,73,95,3.15,IN,1733158783
326,changji,44.0167,87.3167,1.44,86,75,3.0,CN,1733158784
327,kidal,18.4411,1.4078,25.51,9,41,3.73,ML,1733158789
328,alice town,25.7167,-79.3,23.08,63,56,9.88,BS,1733158790
329,vadso,70.0744,29.7487,-0.91,86,40,7.72,NO,1733158791
330,pucon,-39.2822,-71.9543,14.72,47,7,1.16,CL,1733158581
331,grahamstown,-33.3042,26.5328,16.82,76,91,3.28,ZA,1733158793
332,puerto deseado,-47.7503,-65.8938,10.85,53,98,12.63,AR,1733158794
333,dar chioukh,34.8964,3.4854,12.14,53,88,2.82,DZ,1733158795
334,codrington,-38.2667,141.9667,17.81,99,100,1.97,AU,1733158796
335,iola,37.9245,-95.4,1.09,69,0,8.23,US,1733158797
336,kristiansund,63.1115,7.732,1.18,86,75,5.66,NO,1733158799
337,taungdwingyi,20.0167,95.55,22.15,71,14,1.19,MM,1733158800
338,qamdo,31.1667,97.2333,-3.21,51,79,1.76,CN,1733158801
339,port saint john's,-31.6229,29.5448,20.01,85,99,1.65,ZA,1733158802
340,ambodifotatra,-16.9833,49.85,26.41,77,63,4.8,MG,1733158803
341,brisas de zicatela,15.8369,-97.0419,28.82,49,61,1.84,MX,1733158805
342,n'zeto,-7.2312,12.8666,27.16,80,23,3.63,AO,1733158806
343,beitbridge,-22.2167,30.0,33.73,18,0,4.2,ZW,1733158807
344,nuuk,64.1835,-51.7216,-0.66,74,75,2.57,GL,1733158808
345,turochak,52.2576,87.1224,-5.07,97,100,0.24,RU,1733158809
346,motygino,58.1831,94.7592,-13.27,98,99,1.15,RU,1733158810
347,santa rosa,14.3122,121.1114,26.16,99,91,3.81,PH,1733158811
348,kismayo,-0.3582,42.5454,26.99,76,79,6.11,SO,1733158812
349,plastun,44.7561,136.2939,-11.37,56,35,4.01,RU,1733158814
350,sevastopol,44.6,33.5333,6.67,55,6,1.21,UA,1733158815
351,segezha,63.7415,34.3222,3.7,85,100,8.66,RU,1733158785
352,vrangel',42.7297,133.0839,-5.93,47,3,6.66,RU,1733158817
353,luwuk,-0.9516,122.7875,23.7,80,94,1.84,ID,1733158818
354,torghay,49.6339,63.4981,-2.52,78,95,2.58,KZ,1733158819
355,coari,-4.085,-63.1414,38.19,30,100,1.48,BR,1733158820
356,jayapura,-2.5333,140.7,25.66,92,100,1.77,ID,1733158822
357,zemio,5.0314,25.1361,25.82,35,3,0.29,CF,1733158823
358,ust'-ilimsk,58.0006,102.6619,-26.94,95,30,1.73,RU,1733158824
359,makow mazowiecki,52.8649,21.1005,2.36,90,0,3.66,PL,1733158825
360,latnaya,51.6586,38.9011,0.94,88,91,2.37,RU,1733158826
